segment_rank,segment_label,contact_channel_group,contact_timing,cohort,src_risk_tier,Treatment,metric,n__saved,non_null__saved,clipped_median__saved,clipped_q25__saved,clipped_q75__saved,clipped_iqr__saved,n__stopped,non_null__stopped,clipped_median__stopped,clipped_q25__stopped,clipped_q75__stopped,clipped_iqr__stopped,clipped_median_difference,clipped_median_difference_ci_lower,clipped_median_difference_ci_upper,bootstrap_iterations,confidence_level
4,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,breadth,23,23,6.0,2.0,10.5,8.5,25,25,5.0,3.0,8.0,5.0,1.0,-3.0,5.0,2000,0.95
4,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,tenure,23,23,1482.0,1269.0,1770.5,501.5,25,25,1576.0,1149.0,1642.0,493.0,-94.0,-243.0,388.0,2000,0.95
4,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,tt_cost,23,23,371.961,244.09416666666667,531.0423333333333,286.9481666666667,25,25,438.122,380.952,546.7860000000001,165.83400000000006,-66.161,-237.74734999999998,49.94999999999999,2000,0.95
4,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Midpoint,frequency,3,3,90.0,49.0,90.5,41.5,37,37,76.0,41.0,85.0,44.0,14.0,-74.0,33.0,2000,0.95
4,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Midpoint,breadth,3,3,13.0,7.0,14.5,7.5,37,37,5.0,4.0,10.0,6.0,8.0,-6.0,12.0,2000,0.95
4,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Midpoint,tenure,3,3,1389.0,1297.5,1421.5,124.0,37,37,1482.0,1180.0,1667.0,487.0,-93.0,-408.0,124.0,2000,0.95
4,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Midpoint,tt_cost,3,3,241.84866666666667,221.22333333333336,352.19283333333334,130.96949999999998,37,37,518.6273333333334,251.082,594.072,342.99,-276.7786666666667,-336.864,69.59699999999992,2000,0.95
4,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Tiered,frequency,1,1,69.0,69.0,69.0,0.0,38,38,81.0,58.75,90.0,31.25,-12.0,-16.0,3.0,2000,0.95
4,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Tiered,breadth,1,1,7.0,7.0,7.0,0.0,38,38,9.5,6.25,12.0,5.75,-2.5,-4.0,-0.5,2000,0.95
4,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Tiered,tenure,1,1,1453.0,1453.0,1453.0,0.0,38,38,1603.5,1400.25,2014.0,613.75,-150.5,-392.0,-29.0,2000,0.95
4,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Tiered,tt_cost,1,1,241.68233333333333,241.68233333333333,241.68233333333333,0.0,38,38,530.6355,359.61425,625.0360000000001,265.42175000000003,-288.9531666666667,-368.1436666666667,-154.27416666666667,2000,0.95
5,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Control,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Control,frequency,31,31,85.0,67.5,90.0,22.5,10,10,66.5,52.0,76.75,24.75,18.5,-2.0,39.0,2000,0.95
5,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Control,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Control,breadth,31,31,6.0,2.0,8.5,6.5,10,10,7.5,1.25,9.0,7.75,-1.5,-6.5,5.0,2000,0.95
5,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Control,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Control,tenure,31,31,1697.0,1393.0,2103.5,710.5,10,10,1498.0,1221.75,1647.75,426.0,199.0,-41.0,502.5,2000,0.95
5,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Control,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Control,tt_cost,31,31,513.153,284.7626666666667,657.7833333333334,373.0206666666667,10,10,409.38599999999997,248.774,517.11575,268.34175000000005,103.76700000000005,-72.12799999999993,303.9432749999997,2000,0.95
5,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Midpoint,frequency,30,30,88.0,77.25,90.0,12.75,20,20,79.0,27.0,82.25,55.25,9.0,3.5,39.0,2000,0.95
5,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Midpoint,breadth,30,30,7.5,4.25,10.0,5.75,20,20,3.5,1.75,6.75,5.0,4.0,1.0,6.5,2000,0.95
5,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Midpoint,tenure,30,30,1450.0,1176.0,1963.25,787.25,20,20,1458.5,1267.5,1661.25,393.75,-8.5,-325.5374999999999,226.51249999999993,2000,0.95
5,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Midpoint,tt_cost,30,30,384.26166666666666,212.53241666666668,512.26625,299.73383333333334,20,20,452.4531666666667,350.48275,527.55525,177.0725,-68.19150000000002,-246.89030416666662,44.79816666666659,2000,0.95
5,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Tiered,frequency,17,17,89.0,85.0,91.0,6.0,29,29,86.0,64.0,90.0,26.0,3.0,-3.0,15.0,2000,0.95
5,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Tiered,breadth,17,17,10.0,5.0,12.0,7.0,29,29,6.0,3.0,9.0,6.0,4.0,0.0,7.0,2000,0.95
5,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Tiered,tenure,17,17,1475.0,1286.0,2089.0,803.0,29,29,1388.0,1179.0,1697.0,518.0,87.0,-233.0,701.0,2000,0.95
5,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Tiered,tt_cost,17,17,490.68333333333334,421.245,649.5666666666667,228.32166666666672,29,29,392.60699999999997,211.24333333333337,497.83500000000004,286.5916666666667,98.07633333333337,-8.575299999999915,282.218,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,frequency,79,79,81.0,54.0,90.0,36.0,8,8,68.5,59.75,83.25,23.5,12.5,-7.012499999999978,26.0,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,breadth,79,79,6.0,3.0,9.0,6.0,8,8,8.0,5.75,9.25,3.5,-2.0,-4.5,1.5,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,tenure,79,79,1600.0,1223.5,1956.5,733.0,8,8,1810.0,1485.75,2637.75,1152.0,-210.0,-1203.0,229.5,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,tt_cost,79,79,382.89933333333335,277.1945,553.4595,276.26500000000004,8,8,641.9831666666666,467.9054166666667,992.12075,524.2153333333333,-259.0838333333333,-930.9173999999998,33.787408333332884,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Midpoint,frequency,33,33,86.0,65.0,91.0,26.0,49,49,81.0,63.0,89.0,26.0,5.0,-2.0,15.0,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Midpoint,breadth,33,33,7.0,4.0,9.0,5.0,49,49,7.0,4.0,9.0,5.0,0.0,-3.0,2.0,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Midpoint,tenure,33,33,1454.0,1175.0,2033.0,858.0,49,49,1424.0,1149.0,1850.0,701.0,30.0,-266.17499999999967,451.0,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Midpoint,tt_cost,33,33,382.61699999999996,266.319,575.091,308.772,49,49,422.91,211.24333333333337,628.276,417.0326666666666,-40.29300000000006,-171.48966666666666,78.28399999999999,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Tiered,frequency,12,12,88.5,82.0,91.0,9.0,60,60,85.5,58.0,89.0,31.0,3.0,-7.0,9.512499999999932,2000,0.95
